                                                           Stdlib	                                                                                                                           Containers	                                                                                                                                              Batteries	                                                                                                        Base	                                            F#
Seq.take_while : ('a -> bool) -> 'a t -> 'a t	CCSeq.take_while : ('a -> bool) -> 'a t -> 'a t	BatSeq.take_while : ('a -> bool) -> 'a t -> 'a t	Base.Sequence.take_while : 'a t -> f:('a -> bool) -> 'a t	Seq.takeWhile : (('a -> bool) -> seq<'a> -> seq<'a>)
	CCSeq.to_array : 'a t -> 'a array		Base.Sequence.to_array : 'a t -> 'a array	Seq.toArray : (seq<'a> -> 'a [])
		BatSeq.to_buffer : ?first:string -> ?last:string -> ?sep:string -> ('a -> string) -> Buffer.t -> (unit -> 'a node) -> unit		
Seq.to_dispenser : 'a t -> unit -> 'a option		BatSeq.to_dispenser : 'a t -> unit -> 'a option		
	CCSeq.to_gen : 'a t -> 'a gen			
	CCSeq.to_iter : 'a t -> 'a iter			
	CCSeq.to_list : 'a t -> 'a list		Base.Sequence.to_list : 'a t -> 'a list	Seq.toList : (seq<'a> -> 'a list)
	CCSeq.to_rev_list : 'a t -> 'a list		Base.Sequence.to_list_rev : 'a t -> 'a list	
			Base.Sequence.to_seq : 'a t -> 'a Base__.Import.Caml.Seq.t	
		BatSeq.to_string : ?first:string -> ?last:string -> ?sep:string -> ('a -> string) -> 'a t -> string		
Seq.transpose : 'a t t -> 'a t t		BatSeq.transpose : 'a t t -> 'a t t		Seq.transpose : (seq<#seq<'b>> -> seq<seq<'b>>)
				Seq.truncate : (int -> seq<'a> -> seq<'a>)
				Seq.tryExactlyOne : (seq<'a> -> 'a option)
				Seq.tryFind : (('a -> bool) -> seq<'a> -> 'a option)
				Seq.tryFindBack : (('a -> bool) -> seq<'a> -> 'a option)
				Seq.tryFindIndex : (('a -> bool) -> seq<'a> -> int option)
				Seq.tryFindIndexBack : (('a -> bool) -> seq<'a> -> int option)
				Seq.tryHead : (seq<'a> -> 'a option)
				Seq.tryItem : (int -> seq<'a> -> 'a option)
				Seq.tryLast : (seq<'a> -> 'a option)
				Seq.tryPick : (('a -> 'b option) -> seq<'a> -> 'b option)
Seq.uncons : 'a t -> ('a * 'a t) option		BatSeq.uncons : 'a t -> ('a * 'a t) option		
Seq.unfold : ('b -> ('a * 'b) option) -> 'b -> 'a t	CCSeq.unfold : ('b -> ('a * 'b) option) -> 'b -> 'a t	BatSeq.unfold : ('b -> ('a * 'b) option) -> 'b -> 'a t	Base.Sequence.unfold : init:'s -> f:('s -> ('a * 's) option) -> 'a t	Seq.unfold : (('a -> ('b * 'a) option) -> 'a -> seq<'b>)
			Base.Sequence.unfold_step : init:'s -> f:('s -> ('a, 's) Step.t) -> 'a t	
			Base.Sequence.unfold_with : 'a t -> init:'s -> f:('s -> 'a -> ('b, 's) Step.t) -> 'b t	
			Base.Sequence.unfold_with_and_finish : 'a t -> init:'s_a -> running_step:('s_a -> 'a -> ('b, 's_a) Step.t) -> inner_finished:('s_a -> 's_b) -> finishing_step:('s_b -> ('b, 's_b) Step.t) -> 'b t	
	CCSeq.uniq : 'a equal -> 'a t -> 'a t			
Seq.unzip : ('a * 'b) t -> 'a t * 'b t	CCSeq.unzip : ('a * 'b) t -> 'a t * 'b t	BatSeq.unzip : ('a * 'b) t -> 'a t * 'b t		
				Seq.updateAt : ???
				Seq.where : (('a -> bool) -> seq<'a> -> seq<'a>)
				Seq.windowed : (int -> seq<'a> -> seq<'a []>)
Seq.zip : 'a t -> 'b t -> ('a * 'b) t	CCSeq.zip : 'a t -> 'b t -> ('a * 'b) t	BatSeq.zip : 'a t -> 'b t -> ('a * 'b) t	Base.Sequence.zip : 'a t -> 'b t -> ('a * 'b) t	Seq.zip : (seq<'a> -> seq<'b> -> seq<'a * 'b>)
				Seq.zip3 : (seq<'a> -> seq<'b> -> seq<'c> -> seq<'a * 'b * 'c>)
			Base.Sequence.zip_full : 'a t -> 'b t -> [ `Both of 'a * 'b | `Left of 'a | `Right of 'b ] t	
	CCSeq.zip_i : 'a t -> (int * 'a) t			
	CCSeq.( -- ) : int -> int -> int t	BatSeq.( -- ) : int -> int -> int t		
		BatSeq.( --- ) : int -> int -> int t		
		BatSeq.( --. ) : float * float -> float -> float t		
	CCSeq.( --^ ) : int -> int -> int t	BatSeq.( --^ ) : int -> int -> int t		
		BatSeq.( --~ ) : char -> char -> char t		
		BatSeq.( // ) : 'a t -> ('a -> bool) -> 'a t		
		BatSeq.( //@ ) : 'a t -> ('a -> 'b option) -> 'b t		
		BatSeq.( /@ ) : 'a t -> ('a -> 'b) -> 'b t		
		BatSeq.( @/ ) : ('a -> 'b) -> 'a t -> 'b t		
		BatSeq.( @// ) : ('a -> 'b option) -> 'a t -> 'b t		
	CCSeq.( <*> ) : ('a -> 'b) t -> 'a t -> 'b t			
	CCSeq.( <.> ) : ('a -> 'b) t -> 'a t -> 'b t			
	CCSeq.( >>- ) : 'a t -> ('a -> 'b t) -> 'b t			
	CCSeq.( >>= ) : 'a t -> ('a -> 'b t) -> 'b t		Base.Sequence.( >>= ) : 'a t -> ('a -> 'b t) -> 'b t	
	CCSeq.( >|= ) : 'a t -> ('a -> 'b) -> 'b t		Base.Sequence.( >>| ) : 'a t -> ('a -> 'b) -> 'b t	
				
Set.add : elt -> t -> t	CCSet.add : elt -> t -> t	BatSet.add : 'a -> 'a t -> 'a t	Base.Set.add : ('a, 'cmp) t -> 'a -> ('a, 'cmp) t	Set.add : ('a -> Set<'a> -> Set<'a>) when 'a : comparison
	CCSet.add_iter : t -> elt iter -> t			
	CCSet.add_list : t -> elt list -> t			
Set.add_seq : elt Seq.t -> t -> t	CCSet.add_seq : elt Seq.t -> t -> t	BatSet.add_seq : 'a BatSeq.t -> 'a t -> 'a t		
		BatSet.any : 'a t -> 'a		
			Base.Set.are_disjoint : ('a, 'cmp) t -> ('a, 'cmp) t -> bool	
		BatSet.at_rank_exn : int -> 'a t -> 'a		
		BatSet.backwards : 'a t -> 'a BatEnum.t		
			Base.Set.binary_search : ('a, 'cmp) t -> compare:('a -> 'key -> int) -> [ `First_equal_to | `First_greater_than_or_equal_to | `First_strictly_greater_than | `Last_equal_to | `Last_less_than_or_equal_to | `Last_strictly_less_than ] -> 'key -> 'a option	
			Base.Set.binary_search_segmented : ('a, 'cmp) t -> segment_of:('a -> [ `Left | `Right ]) -> [ `First_on_right | `Last_on_left ] -> 'a option	
Set.cardinal : t -> int	CCSet.cardinal : t -> int	BatSet.cardinal : 'a t -> int		
		BatSet.cartesian_product : 'a t -> 'b t -> ('a * 'b) t		
Set.choose : t -> elt	CCSet.choose : t -> elt	BatSet.choose : 'a t -> 'a	Base.Set.choose_exn : ('a, 'b) t -> 'a	
Set.choose_opt : t -> elt option	CCSet.choose_opt : t -> elt option	BatSet.choose_opt : 'a t -> 'a option	Base.Set.choose : ('a, 'b) t -> 'a option	
			Base.Set.comparator : ('a, 'cmp) t -> ('a, 'cmp) Base__.Comparator.t	
			Base.Set.comparator_s : ('a, 'cmp) t -> ('a, 'cmp) Base__.Comparator.Module.t	
Set.compare : t -> t -> int	CCSet.compare : t -> t -> int	BatSet.compare : 'a t -> 'a t -> int	Base.Set.compare : 'a Base__Ppx_compare_lib.compare -> 'b Base__Ppx_compare_lib.compare -> ('a, 'b) t Base__Ppx_compare_lib.compare	
			Base.Set.compare_direct : ('a, 'cmp) t -> ('a, 'cmp) t -> int	
			Base.Set.compare_m__t : (module Compare_m) -> ('elt, 'cmp) t -> ('elt, 'cmp) t -> int	
				Set.contains : ('a -> Set<'a> -> bool) when 'a : comparison
			Base.Set.count : ('a, 'b) t -> f:('a -> bool) -> int	Set.count : (Set<'a> -> int) when 'a : comparison
Set.diff : t -> t -> t	CCSet.diff : t -> t -> t	BatSet.diff : 'a t -> 'a t -> 'a t	Base.Set.diff : ('a, 'cmp) t -> ('a, 'cmp) t -> ('a, 'cmp) t	Set.difference : (Set<'a> -> Set<'a> -> Set<'a>) when 'a : comparison
Set.disjoint : t -> t -> bool	CCSet.disjoint : t -> t -> bool	BatSet.disjoint : 'a t -> 'a t -> bool		
Set.elements : t -> elt list	CCSet.elements : t -> elt list	BatSet.elements : 'a t -> 'a list	Base.Set.elements : ('a, 'b) t -> 'a list	
Set.empty : t	CCSet.empty : t	BatSet.empty : 'a t	Base.Set.empty : ('a, 'cmp) Base__.Comparator.Module.t -> ('a, 'cmp) t	Set.empty : Set<'a> when 'a : comparison
		BatSet.enum : 'a t -> 'a BatEnum.t		
Set.equal : t -> t -> bool	CCSet.equal : t -> t -> bool	BatSet.equal : 'a t -> 'a t -> bool	Base.Set.equal : ('a, 'cmp) t -> ('a, 'cmp) t -> bool	
			Base.Set.equal_m__t : (module Equal_m) -> ('elt, 'cmp) t -> ('elt, 'cmp) t -> bool	
Set.exists : (elt -> bool) -> t -> bool	CCSet.exists : (elt -> bool) -> t -> bool	BatSet.exists : ('a -> bool) -> 'a t -> bool	Base.Set.exists : ('a, 'b) t -> f:('a -> bool) -> bool	Set.exists : (('a -> bool) -> Set<'a> -> bool) when 'a : comparison
Set.filter : (elt -> bool) -> t -> t	CCSet.filter : (elt -> bool) -> t -> t	BatSet.filter : ('a -> bool) -> 'a t -> 'a t	Base.Set.filter : ('a, 'cmp) t -> f:('a -> bool) -> ('a, 'cmp) t	Set.filter : (('a -> bool) -> Set<'a> -> Set<'a>) when 'a : comparison
Set.filter_map : (elt -> elt option) -> t -> t	CCSet.filter_map : (elt -> elt option) -> t -> t	BatSet.filter_map : ('a -> 'b option) -> 'a t -> 'b t	Base.Set.filter_map : ('b, 'cmp) Base__.Comparator.Module.t -> ('a, 'c) t -> f:('a -> 'b option) -> ('b, 'cmp) t	
		BatSet.filter_map_endo : ('a -> 'a option) -> 'a t -> 'a t		
Set.find : elt -> t -> elt	CCSet.find : elt -> t -> elt	BatSet.find : 'a -> 'a t -> 'a		
Set.find_first : (elt -> bool) -> t -> elt	CCSet.find_first : (elt -> bool) -> t -> elt	BatSet.find_first : ('a -> bool) -> 'a t -> 'a	Base.Set.find_exn : ('a, 'b) t -> f:('a -> bool) -> 'a	
Set.find_first_opt : (elt -> bool) -> t -> elt option	CCSet.find_first_opt : (elt -> bool) -> t -> elt option	BatSet.find_first_opt : ('a -> bool) -> 'a t -> 'a option	Base.Set.find : ('a, 'b) t -> f:('a -> bool) -> 'a option	
Set.find_last : (elt -> bool) -> t -> elt	CCSet.find_last : (elt -> bool) -> t -> elt	BatSet.find_last : ('a -> bool) -> 'a t -> 'a		
Set.find_last_opt : (elt -> bool) -> t -> elt option	CCSet.find_last_opt : (elt -> bool) -> t -> elt option	BatSet.find_last_opt : ('a -> bool) -> 'a t -> 'a option		
			Base.Set.find_map : ('a, 'c) t -> f:('a -> 'b option) -> 'b option	
Set.find_opt : elt -> t -> elt option	CCSet.find_opt : elt -> t -> elt option	BatSet.find_opt : 'a -> 'a t -> 'a option		
Set.fold : (elt -> 'a -> 'a) -> t -> 'a -> 'a	CCSet.fold : (elt -> 'a -> 'a) -> t -> 'a -> 'a	BatSet.fold : ('a -> 'b -> 'b) -> 'a t -> 'b -> 'b	Base.Set.fold : ('a, 'b) t -> init:'accum -> f:('accum -> 'a -> 'accum) -> 'accum	Set.fold : (('a -> 'b -> 'a) -> 'a -> Set<'b> -> 'a) when 'b : comparison
			Base.Set.fold_result : ('a, 'b) t -> init:'accum -> f:('accum -> 'a -> ('accum, 'e) Base__.Result.t) -> ('accum, 'e) Base__.Result.t	
			Base.Set.fold_right : ('a, 'b) t -> init:'accum -> f:('a -> 'accum -> 'accum) -> 'accum	Set.foldBack : (('a -> 'b -> 'b) -> Set<'a> -> 'b -> 'b) when 'a : comparison
			Base.Set.fold_until : ('a, 'b) t -> init:'accum -> f:('accum -> 'a -> ('accum, 'final) Base__.Container.Continue_or_stop.t) -> finish:('accum -> 'final) -> 'final	
Set.for_all : (elt -> bool) -> t -> bool	CCSet.for_all : (elt -> bool) -> t -> bool	BatSet.for_all : ('a -> bool) -> 'a t -> bool	Base.Set.for_all : ('a, 'b) t -> f:('a -> bool) -> bool	Set.forall : (('a -> bool) -> Set<'a> -> bool) when 'a : comparison
			Base.Set.group_by : ('a, 'cmp) t -> equiv:('a -> 'a -> bool) -> ('a, 'cmp) t list	
			Base.Set.hash_fold_direct : 'a Base__.Hash.folder -> ('a, 'cmp) t Base__.Hash.folder	
			Base.Set.hash_fold_m__t : (module Hash_fold_m with type t = 'elt) -> Base__.Hash.state -> ('elt, 'a) t -> Base__.Hash.state	
			Base.Set.hash_m__t : (module Hash_fold_m with type t = 'elt) -> ('elt, 'a) t -> int	
Set.inter : t -> t -> t	CCSet.inter : t -> t -> t	BatSet.intersect : 'a t -> 'a t -> 'a t	Base.Set.inter : ('a, 'cmp) t -> ('a, 'cmp) t -> ('a, 'cmp) t	Set.intersect : (Set<'a> -> Set<'a> -> Set<'a>) when 'a : comparison
				Set.intersectMany : (seq<Set<'a>> -> Set<'a>) when 'a : comparison
			Base.Set.invariants : ('a, 'b) t -> bool	
Set.is_empty : t -> bool	CCSet.is_empty : t -> bool	BatSet.is_empty : 'a t -> bool	Base.Set.is_empty : ('a, 'b) t -> bool	Set.isEmpty : (Set<'a> -> bool) when 'a : comparison
		BatSet.is_singleton : 'a t -> bool		
				Set.isProperSubset : (Set<'a> -> Set<'a> -> bool) when 'a : comparison
				Set.isProperSuperset : (Set<'a> -> Set<'a> -> bool) when 'a : comparison
			Base.Set.is_subset : ('a, 'cmp) t -> of_:('a, 'cmp) t -> bool	Set.isSubset : (Set<'a> -> Set<'a> -> bool) when 'a : comparison
				Set.isSuperset : (Set<'a> -> Set<'a> -> bool) when 'a : comparison
Set.iter : (elt -> unit) -> t -> unit	CCSet.iter : (elt -> unit) -> t -> unit	BatSet.iter : ('a -> unit) -> 'a t -> unit	Base.Set.iter : ('a, 'b) t -> f:('a -> unit) -> unit	Set.iter : (('a -> unit) -> Set<'a> -> unit) when 'a : comparison
			Base.Set.iter2 : ('a, 'cmp) t -> ('a, 'cmp) t -> f:([ `Both of 'a * 'a | `Left of 'a | `Right of 'a ] -> unit) -> unit	
			Base.Set.length : ('a, 'b) t -> int	
			Base.Set.m__t_of_sexp : (module M_of_sexp with type comparator_witness = 'cmp and type t = 'elt) -> Base__.Sexp.t -> ('elt, 'cmp) t	
			Base.Set.m__t_sexp_grammar : (module M_sexp_grammar with type t = 'elt) -> ('elt, 'cmp) t Sexplib0.Sexp_grammar.t	
Set.map : (elt -> elt) -> t -> t	CCSet.map : (elt -> elt) -> t -> t	BatSet.map : ('a -> 'b) -> 'a t -> 'b t	Base.Set.map : ('b, 'cmp) Base__.Comparator.Module.t -> ('a, 'c) t -> f:('a -> 'b) -> ('b, 'cmp) t	Set.map : (('a -> 'b) -> Set<'a> -> Set<'b>) when 'a : comparison and 'b : comparison
		BatSet.map_endo : ('a -> 'a) -> 'a t -> 'a t		
Set.max_elt : t -> elt	CCSet.max_elt : t -> elt	BatSet.max_elt : 'a t -> 'a	Base.Set.max_elt_exn : ('a, 'b) t -> 'a	Set.maxElement : (Set<'a> -> 'a) when 'a : comparison
Set.max_elt_opt : t -> elt option	CCSet.max_elt_opt : t -> elt option	BatSet.max_elt_opt : 'a t -> 'a option	Base.Set.max_elt : ('a, 'b) t -> 'a option	
Set.mem : elt -> t -> bool	CCSet.mem : elt -> t -> bool	BatSet.mem : 'a -> 'a t -> bool	Base.Set.mem : ('a, 'b) t -> 'a -> bool	
			Base.Set.merge_to_sequence : ?order:[ `Decreasing | `Increasing ] -> ?greater_or_equal_to:'a -> ?less_or_equal_to:'a -> ('a, 'cmp) t -> ('a, 'cmp) t -> ('a, 'a) Merge_to_sequence_element.t Base__.Sequence.t	
Set.min_elt : t -> elt	CCSet.min_elt : t -> elt	BatSet.min_elt : 'a t -> 'a	Base.Set.min_elt_exn : ('a, 'b) t -> 'a	Set.minElement : (Set<'a> -> 'a) when 'a : comparison
Set.min_elt_opt : t -> elt option	CCSet.min_elt_opt : t -> elt option	BatSet.min_elt_opt : 'a t -> 'a option	Base.Set.min_elt : ('a, 'b) t -> 'a option	
			Base.Set.nth : ('a, 'b) t -> int -> 'a option	
		BatSet.of_array : 'a array -> 'a t	Base.Set.of_array : ('a, 'cmp) Base__.Comparator.Module.t -> 'a array -> ('a, 'cmp) t	Set.ofArray : ('a [] -> Set<'a>) when 'a : comparison
		BatSet.of_enum : 'a BatEnum.t -> 'a t		
			Base.Set.of_increasing_iterator_unchecked : ('a, 'cmp) Base__.Comparator.Module.t -> len:int -> f:(int -> 'a) -> ('a, 'cmp) t	
	CCSet.of_iter : elt iter -> t			
Set.of_list : elt list -> t	CCSet.of_list : elt list -> t	BatSet.of_list : 'a list -> 'a t	Base.Set.of_list : ('a, 'cmp) Base__.Comparator.Module.t -> 'a list -> ('a, 'cmp) t	Set.ofList : ('a list -> Set<'a>) when 'a : comparison
Set.of_seq : elt Seq.t -> t	CCSet.of_seq : elt Seq.t -> t	BatSet.of_seq : 'a BatSeq.t -> 'a t	Base.Set.of_sequence : ('a, 'cmp) Base__.Comparator.Module.t -> 'a Base__.Sequence.t -> ('a, 'cmp) t	Set.ofSeq : (seq<'a> -> Set<'a>) when 'a : comparison
			Base.Set.of_sorted_array : ('a, 'cmp) Base__.Comparator.Module.t -> 'a array -> ('a, 'cmp) t Base__.Or_error.t	
			Base.Set.of_sorted_array_unchecked : ('a, 'cmp) Base__.Comparator.Module.t -> 'a array -> ('a, 'cmp) t	
Set.partition : (elt -> bool) -> t -> t * t	CCSet.partition : (elt -> bool) -> t -> t * t	BatSet.partition : ('a -> bool) -> 'a t -> 'a t * 'a t	Base.Set.partition_tf : ('a, 'cmp) t -> f:('a -> bool) -> ('a, 'cmp) t * ('a, 'cmp) t	Set.partition : (('a -> bool) -> Set<'a> -> Set<'a> * Set<'a>) when 'a : comparison
		BatSet.pop : 'a t -> 'a * 'a t		
		BatSet.pop_max : 'a t -> 'a * 'a t		
		BatSet.pop_min : 'a t -> 'a * 'a t		
	CCSet.pp : ?pp_start:unit printer -> ?pp_stop:unit printer -> ?pp_sep:unit printer -> elt printer -> t printer			
		BatSet.print : ?first:string -> ?last:string -> ?sep:string -> ('a BatInnerIO.output -> 'c -> unit) -> 'a BatInnerIO.output -> 'c t -> unit		
Set.remove : elt -> t -> t	CCSet.remove : elt -> t -> t	BatSet.remove : 'a -> 'a t -> 'a t	Base.Set.remove : ('a, 'cmp) t -> 'a -> ('a, 'cmp) t	Set.remove : ('a -> Set<'a> -> Set<'a>) when 'a : comparison
		BatSet.remove_exn : 'a -> 'a t -> 'a t		
			Base.Set.remove_index : ('a, 'cmp) t -> int -> ('a, 'cmp) t	
			Base.Set.sexp_of_m__t : (module Sexp_of_m with type t = 'elt) -> ('elt, 'cmp) t -> Base__.Sexp.t	
Set.singleton : elt -> t	CCSet.singleton : elt -> t	BatSet.singleton : 'a -> 'a t	Base.Set.singleton : ('a, 'cmp) Base__.Comparator.Module.t -> 'a -> ('a, 'cmp) t	Set.singleton : ('a -> Set<'a>) when 'a : comparison
Set.split : elt -> t -> t * bool * t	CCSet.split : elt -> t -> t * bool * t	BatSet.split : 'a -> 'a t -> 'a t * bool * 'a t	Base.Set.split : ('a, 'cmp) t -> 'a -> ('a, 'cmp) t * 'a option * ('a, 'cmp) t	
		BatSet.split_le : 'a -> 'a t -> 'a t * 'a t		
		BatSet.split_lt : 'a -> 'a t -> 'a t * 'a t		
		BatSet.split_opt : 'a -> 'a t -> 'a t * 'a option * 'a t		
			Base.Set.stable_dedup_list : ('a, 'b) Base__.Comparator.Module.t -> 'a list -> 'a list	
Set.subset : t -> t -> bool	CCSet.subset : t -> t -> bool	BatSet.subset : 'a t -> 'a t -> bool		
			Base.Set.sum : (module Base__.Container.Summable with type t = 'sum) -> ('a, 'b) t -> f:('a -> 'sum) -> 'sum	
		BatSet.sym_diff : 'a t -> 'a t -> 'a t	Base.Set.symmetric_diff : ('a, 'cmp) t -> ('a, 'cmp) t -> ('a, 'a) Base__.Either.t Base__.Sequence.t	
		BatSet.to_array : 'a t -> 'a array	Base.Set.to_array : ('a, 'b) t -> 'a array	Set.toArray : (Set<'a> -> 'a []) when 'a : comparison
	CCSet.to_iter : t -> elt iter			
	CCSet.to_list : t -> elt list	BatSet.to_list : 'a t -> 'a list	Base.Set.to_list : ('a, 'b) t -> 'a list	Set.toList : (Set<'a> -> 'a list) when 'a : comparison
Set.to_rev_seq : t -> elt Seq.t	CCSet.to_rev_seq : t -> elt Seq.t	BatSet.to_rev_seq : 'a t -> 'a BatSeq.t		
Set.to_seq : t -> elt Seq.t	CCSet.to_seq : t -> elt Seq.t	BatSet.to_seq : 'a t -> 'a BatSeq.t		Set.toSeq : (Set<'a> -> seq<'a>) when 'a : comparison
Set.to_seq_from : elt -> t -> elt Seq.t	CCSet.to_seq_from : elt -> t -> elt Seq.t	BatSet.to_seq_from : 'a -> 'a t -> 'a BatSeq.t		
			Base.Set.to_sequence : ?order:[ `Decreasing | `Increasing ] -> ?greater_or_equal_to:'a -> ?less_or_equal_to:'a -> ('a, 'cmp) t -> 'a Base__.Sequence.t	
	CCSet.to_string : ?start:string -> ?stop:string -> ?sep:string -> (elt -> string) -> t -> string			
Set.union : t -> t -> t	CCSet.union : t -> t -> t	BatSet.union : 'a t -> 'a t -> 'a t	Base.Set.union : ('a, 'cmp) t -> ('a, 'cmp) t -> ('a, 'cmp) t	Set.union : (Set<'a> -> Set<'a> -> Set<'a>) when 'a : comparison
			Base.Set.union_list : ('a, 'cmp) Base__.Comparator.Module.t -> ('a, 'cmp) t list -> ('a, 'cmp) t	
				Set.unionMany : (seq<Set<'a>> -> Set<'a>) when 'a : comparison
				
			Base.String.ascending : t -> t -> int	
			Base.String.between : t -> low:t -> high:t -> bool	
StringLabels.blit : src:string -> src_pos:int -> dst:bytes -> dst_pos:int -> len:int -> unit	CCStringLabels.blit : src:t -> src_pos:int -> dst:Bytes.t -> dst_pos:int -> len:int -> unit			
StringLabels.capitalize : string -> string	CCStringLabels.capitalize : string -> string		Base.String.capitalize : t -> t	
StringLabels.capitalize_ascii : string -> string	CCStringLabels.capitalize_ascii : string -> string			
StringLabels.cat : string -> string -> string	CCStringLabels.cat : string -> string -> string			
	CCStringLabels.chop_prefix : pre:string -> string -> string option		Base.String.chop_prefix : t -> prefix:t -> t option	
			Base.String.chop_prefix_exn : t -> prefix:t -> t	
			Base.String.chop_prefix_if_exists : t -> prefix:t -> t	
	CCStringLabels.chop_suffix : suf:string -> string -> string option		Base.String.chop_suffix : t -> suffix:t -> t option	
			Base.String.chop_suffix_exn : t -> suffix:t -> t	
			Base.String.chop_suffix_if_exists : t -> suffix:t -> t	
			Base.String.clamp : t -> min:t -> max:t -> t Base__.Or_error.t	
			Base.String.clamp_exn : t -> min:t -> max:t -> t	
				
			Base.String.common_prefix : t list -> t	
			Base.String.common_prefix2 : t -> t -> t	
			Base.String.common_prefix2_length : t -> t -> int	
			Base.String.common_prefix_length : t list -> int	
			Base.String.common_suffix : t list -> t	
			Base.String.common_suffix2 : t -> t -> t	
			Base.String.common_suffix2_length : t -> t -> int	
			Base.String.common_suffix_length : t list -> int	
			Base.String.comparator : (t, comparator_witness) Base__Comparator.comparator	
StringLabels.compare : t -> t -> int	CCStringLabels.compare : string -> string -> int		Base.String.compare : t -> t -> int	
	CCStringLabels.compare_natural : string -> string -> int			
	CCStringLabels.compare_versions : string -> string -> int			
StringLabels.concat : sep:string -> string list -> string	CCStringLabels.concat : sep:string -> string list -> string		Base.String.concat : ?sep:t -> t list -> t	
			Base.String.concat_array : ?sep:t -> t array -> t	
	CCStringLabels.concat_gen : sep:string -> string gen -> string			
	CCStringLabels.concat_iter : sep:string -> string iter -> string			
			Base.String.concat_map : ?sep:t -> t -> f:(char -> t) -> t	
	CCStringLabels.concat_seq : sep:string -> string Seq.t -> string			
StringLabels.contains : string -> char -> bool	CCStringLabels.contains : string -> char -> bool		Base.String.contains : ?pos:int -> ?len:int -> t -> char -> bool	
StringLabels.contains_from : string -> int -> char -> bool	CCStringLabels.contains_from : string -> int -> char -> bool			
StringLabels.copy : string -> string	CCStringLabels.copy : string -> string		Base.String.copy : t -> t	
			Base.String.count : t -> f:(elt -> bool) -> int	
			Base.String.counti : t -> f:(int -> elt -> bool) -> int	
			Base.String.descending : t -> t -> int	
	CCStringLabels.drop : int -> string -> string			
			Base.String.drop_prefix : t -> int -> t	
			Base.String.drop_suffix : t -> int -> t	
	CCStringLabels.drop_while : f:(char -> bool) -> t -> t			
	CCStringLabels.edit_distance : ?cutoff:int -> string -> string -> int			
StringLabels.empty : string	CCStringLabels.empty : string			
StringLabels.ends_with : suffix:string -> string -> bool	CCStringLabels.ends_with : suffix:string -> string -> bool			
StringLabels.equal : t -> t -> bool	CCStringLabels.equal : string -> string -> bool		Base.String.equal : t -> t -> bool	
	CCStringLabels.equal_caseless : string -> string -> bool			
StringLabels.escaped : string -> string	CCStringLabels.escaped : string -> string		Base.String.escaped : t -> t	
StringLabels.exists : f:(char -> bool) -> string -> bool	CCStringLabels.exists : f:(char -> bool) -> string -> bool		Base.String.exists : t -> f:(elt -> bool) -> bool	
			Base.String.existsi : t -> f:(int -> elt -> bool) -> bool	
	CCStringLabels.exists2 : f:(char -> char -> bool) -> string -> string -> bool			
StringLabels.fill : bytes -> pos:int -> len:int -> char -> unit	CCStringLabels.fill : bytes -> pos:int -> len:int -> char -> unit			
	CCStringLabels.filter : f:(char -> bool) -> string -> string		Base.String.filter : t -> f:(char -> bool) -> t	
			Base.String.filteri : t -> f:(int -> char -> bool) -> t	
	CCStringLabels.filter_map : f:(char -> char option) -> string -> string			
	CCStringLabels.find : ?start:int -> sub:string -> string -> int		Base.String.find : t -> f:(elt -> bool) -> elt option	
	CCStringLabels.find_all : ?start:int -> sub:string -> string -> int gen			
	CCStringLabels.find_all_l : ?start:int -> sub:string -> string -> int list			
			Base.String.find_map : t -> f:(elt -> 'a option) -> 'a option	
			Base.String.find_mapi : t -> f:(int -> elt -> 'a option) -> 'a option	
			Base.String.findi : t -> f:(int -> elt -> bool) -> (int * elt) option	
	CCStringLabels.flat_map : ?sep:string -> f:(char -> string) -> string -> string			
	CCStringLabels.fold : f:('a -> char -> 'a) -> init:'a -> t -> 'a		Base.String.fold : t -> init:'accum -> f:('accum -> elt -> 'accum) -> 'accum	
	CCStringLabels.fold2 : f:('a -> char -> char -> 'a) -> init:'a -> string -> string -> 'a			
StringLabels.fold_left : f:('a -> char -> 'a) -> init:'a -> string -> 'a	CCStringLabels.fold_left : f:('a -> char -> 'a) -> init:'a -> string -> 'a			
			Base.String.fold_result : t -> init:'accum -> f:('accum -> elt -> ('accum, 'e) Base__.Result.t) -> ('accum, 'e) Base__.Result.t	
StringLabels.fold_right : f:(char -> 'a -> 'a) -> string -> init:'a -> 'a	CCStringLabels.fold_right : f:(char -> 'a -> 'a) -> string -> init:'a -> 'a			
			Base.String.fold_until : t -> init:'accum -> f:('accum -> elt -> ('accum, 'final) Base__Container_intf.Continue_or_stop.t) -> finish:('accum -> 'final) -> 'final	
	CCStringLabels.foldi : f:('a -> int -> char -> 'a) -> 'a -> t -> 'a		Base.String.foldi : t -> init:'a -> f:(int -> 'a -> char -> 'a) -> 'a	
StringLabels.for_all : f:(char -> bool) -> string -> bool	CCStringLabels.for_all : f:(char -> bool) -> string -> bool		Base.String.for_all : t -> f:(elt -> bool) -> bool	
			Base.String.for_alli : t -> f:(int -> elt -> bool) -> bool	
	CCStringLabels.for_all2 : f:(char -> char -> bool) -> string -> string -> bool			
StringLabels.get_int16_be : string -> int -> int	CCStringLabels.get_int16_be : string -> int -> int			
StringLabels.get_int16_le : string -> int -> int	CCStringLabels.get_int16_le : string -> int -> int			
